No.,Player,Pos,Ht,Wt,Birth Date,...7,Exp,College,team
55,Duncan Robinson,SG,6-7,215,"April 22, 1994",us,3,"Williams, Michigan",Miami Heat
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us,10,Texas,Miami Heat
31,Max Strus,SF,6-5,215,"March 28, 1996",us,2,"Lewis (IL), DePaul",Miami Heat
2,Gabe Vincent,PG,6-3,200,"June 14, 1996",us,2,UC Santa Barbara,Miami Heat
21,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,8,USC,Miami Heat
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us,2,Kentucky,Miami Heat
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us,15,Villanova,Miami Heat
16,Caleb Martin,SF,6-5,205,"September 28, 1995",us,2,"NC State, Nevada",Miami Heat
22,Jimmy Butler,SF,6-7,230,"September 14, 1989",us,10,Marquette,Miami Heat
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us,4,Kentucky,Miami Heat
77,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr,R,"NC State, Georgetown",Miami Heat
24,Haywood Highsmith,SF,6-7,220,"December 9, 1996",us,1,Wheeling University,Miami Heat
8,Markieff Morris,PF,6-9,245,"September 2, 1989",us,10,Kansas,Miami Heat
40,Udonis Haslem,C,6-8,235,"June 9, 1980",us,18,Florida,Miami Heat
4,Victor Oladipo,SG,6-4,213,"May 4, 1992",us,8,Indiana,Miami Heat
15,Javonte Smart  (TW),PG,6-4,205,"June 3, 1999",us,R,LSU,Miami Heat
12,Mychal Mulder  (TW),PG,6-3,184,"June 12, 1994",ca,2,"Vincennes University, Kentucky",Miami Heat
12,Grant Williams,PF,6-6,236,"November 30, 1998",us,2,Tennessee,Boston Celtics
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us,4,Duke,Boston Celtics
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us,7,Oklahoma State,Boston Celtics
11,Payton Pritchard,SG,6-1,195,"January 28, 1998",us,1,Oregon,Boston Celtics
42,Al Horford,C,6-9,240,"June 3, 1986",do,14,Florida,Boston Celtics
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us,5,California,Boston Celtics
44,Robert Williams,C,6-8,237,"October 17, 1997",us,3,Texas A&M,Boston Celtics
26,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us,1,Vanderbilt,Boston Celtics
9,Derrick White,SG,6-4,190,"July 2, 1994",us,4,"Colorado-Colorado Springs, Colorado",Boston Celtics
30,Sam Hauser,SF,6-8,215,"December 8, 1997",us,R,"Marquette, Virginia",Boston Celtics
27,Daniel Theis,C,6-8,245,"April 4, 1992",de,4,,Boston Celtics
40,Luke Kornet,C,7-2,250,"July 15, 1995",us,4,Vanderbilt,Boston Celtics
97,Brodric Thomas  (TW),SG,6-5,185,"January 28, 1997",us,1,Truman State University,Boston Celtics
8,Malik Fitts,PF,6-8,230,"July 4, 1997",us,1,"South Florida, Saint Mary's",Boston Celtics
13,Nik Stauskas,SG,6-6,205,"October 7, 1993",ca,5,Michigan,Boston Celtics
37,Matt Ryan  (TW),SF,6-7,215,"April 17, 1997",us,R,"Notre Dame, Vanderbilt, Chattanooga",Boston Celtics
4,Juwan Morgan,PF,6-7,232,"April 17, 1997",us,2,Indiana,Boston Celtics
9,Bobby Portis,C,6-10,250,"February 10, 1995",us,6,Arkansas,Milwaukee Bucks
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr,8,,Milwaukee Bucks
21,Jrue Holiday,PG,6-3,205,"June 12, 1990",us,12,UCLA,Milwaukee Bucks
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us,9,Texas A&M,Milwaukee Bucks
7,Grayson Allen,SG,6-4,198,"October 8, 1995",us,3,Duke,Milwaukee Bucks
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",us,6,Notre Dame,Milwaukee Bucks
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us,1,Louisville,Milwaukee Bucks
3,George Hill,SG,6-4,188,"May 4, 1986",us,13,IUPUI,Milwaukee Bucks
23,Wesley Matthews,SG,6-4,220,"October 14, 1986",us,12,Marquette,Milwaukee Bucks
43,Thanasis Antetokounmpo,SF,6-6,219,"July 18, 1992",gr,3,,Milwaukee Bucks
54,Sandro Mamukelashvili  (TW),PF,6-11,240,"May 23, 1999",us,R,Seton Hall,Milwaukee Bucks
5,Jevon Carter,PG,6-1,200,"September 14, 1995",us,3,West Virginia,Milwaukee Bucks
25,Serge Ibaka,PF,6-10,235,"September 18, 1989",cg,12,,Milwaukee Bucks
28,Lindell Wigginton  (TW),PG,6-2,189,"March 28, 1998",ca,R,Iowa State,Milwaukee Bucks
11,Brook Lopez,C,7-0,282,"April 1, 1988",us,13,Stanford,Milwaukee Bucks
59,Rayjon Tucker,SG,6-3,209,"September 24, 1997",us,2,"Florida Gulf Coast, Little Rock",Milwaukee Bucks
6,Luca Vildoza,PG,6-3,190,"August 11, 1995",ar,R,,Milwaukee Bucks
20,Georges Niang,PF,6-7,230,"June 17, 1993",us,5,Iowa State,Philadelphia 76ers
0,Tyrese Maxey,PG,6-2,200,"November 4, 2000",us,1,Kentucky,Philadelphia 76ers
12,Tobias Harris,PF,6-8,226,"July 15, 1992",us,10,Tennessee,Philadelphia 76ers
21,Joel Embiid,C,7-0,280,"March 16, 1994",cm,5,Kansas,Philadelphia 76ers
30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",tr,4,,Philadelphia 76ers
22,Matisse Thybulle,SG,6-5,201,"March 4, 1997",us,2,Washington,Philadelphia 76ers
14,Danny Green,SF,6-6,215,"June 22, 1987",us,12,UNC,Philadelphia 76ers
18,Shake Milton,PG,6-5,205,"September 26, 1996",us,3,SMU,Philadelphia 76ers
7,Isaiah Joe,SG,6-4,165,"July 2, 1999",us,1,Arkansas,Philadelphia 76ers
44,Paul Reed,C,6-9,210,"June 14, 1999",us,1,DePaul,Philadelphia 76ers
23,Charles Bassey,PF,6-11,235,"October 28, 2000",ng,R,Western Kentucky,Philadelphia 76ers
1,James Harden,SG,6-5,220,"August 26, 1989",us,12,Arizona State,Philadelphia 76ers
16,Charlie Brown Jr.,SG,6-6,199,"February 2, 1997",us,2,Saint Joseph's,Philadelphia 76ers
9,DeAndre Jordan,C,6-11,265,"July 21, 1988",us,13,Texas A&M,Philadelphia 76ers
5,Myles Powell  (TW),PG,6-2,195,"July 7, 1997",us,R,Seton Hall,Philadelphia 76ers
8,Paul Millsap,PF,6-7,257,"February 10, 1985",us,15,Louisiana Tech,Philadelphia 76ers
11,Jaden Springer,SG,6-4,204,"September 25, 2002",us,R,Tennessee,Philadelphia 76ers
25,Chris Boucher,PF,6-9,200,"January 11, 1993",lc,4,Oregon,Toronto Raptors
4,Scottie Barnes,PF,6-9,227,"August 1, 2001",us,R,Florida State,Toronto Raptors
5,Precious Achiuwa,C,6-8,225,"September 19, 1999",ng,1,Memphis,Toronto Raptors
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,3,Duke,Toronto Raptors
43,Pascal Siakam,PF,6-9,230,"April 2, 1994",cm,5,New Mexico State,Toronto Raptors
23,Fred VanVleet,PG,6-1,197,"February 25, 1994",us,5,Wichita State,Toronto Raptors
45,Dalano Banton,PG,6-9,204,"November 7, 1999",ca,R,Nebraska,Toronto Raptors
14,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua,3,Kansas,Toronto Raptors
24,Khem Birch,C,6-9,233,"September 28, 1992",ca,4,"Pitt, UNLV",Toronto Raptors
3,OG Anunoby,SF,6-7,232,"July 17, 1997",gb,4,Indiana,Toronto Raptors
22,Malachi Flynn,PG,6-1,175,"May 10, 1998",us,1,"Washington State, San Diego State",Toronto Raptors
18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp,3,George Washington,Toronto Raptors
11,Justin Champagnie  (TW),SF,6-6,200,"June 29, 2001",us,R,Pitt,Toronto Raptors
21,Thaddeus Young,PF,6-8,235,"June 21, 1988",us,14,Georgia Tech,Toronto Raptors
17,Isaac Bonga,SF,6-8,180,"November 8, 1999",de,3,,Toronto Raptors
1,Armoni Brooks,PG,6-3,195,"June 5, 1998",us,1,Houston,Toronto Raptors
13,David Johnson  (TW),SG,6-5,210,"February 26, 2001",us,R,Louisville,Toronto Raptors
12,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us,R,Illinois,Chicago Bulls
11,DeMar DeRozan,PF,6-6,220,"August 7, 1989",us,12,USC,Chicago Bulls
9,Nikola Vučević,C,6-10,260,"October 24, 1990",ch,10,USC,Chicago Bulls
8,Zach LaVine,SF,6-5,200,"March 10, 1995",us,7,UCLA,Chicago Bulls
7,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us,3,Oregon,Chicago Bulls
24,Javonte Green,SF,6-4,205,"July 23, 1993",us,2,Radford,Chicago Bulls
0,Coby White,PG,6-5,195,"February 16, 2000",us,2,UNC,Chicago Bulls
13,Tony Bradley,C,6-10,248,"January 8, 1998",us,4,UNC,Chicago Bulls
5,Derrick Jones Jr.,PF,6-5,210,"February 15, 1997",us,5,UNLV,Chicago Bulls
6,Alex Caruso,SG,6-4,186,"February 28, 1994",us,4,Texas A&M,Chicago Bulls
21,Matt Thomas,SG,6-4,190,"August 4, 1994",us,2,Iowa State,Chicago Bulls
